id,eta_k_SAEM,eta_V_SAEM,eta_TS0_SAEM,eta_kge_SAEM,eta_kgl_SAEM,eta_TSmax_SAEM,eta_kkill_SAEM,eta_tau_SAEM,eta_k1_SAEM
1,1.82269,0.416565,0.0142489,0.662108,0.197735,0.271951,0.343469,0.292591,-0.493271
2,-1.34781,0.0319682,-0.0765996,1.42032,0.553535,0.508319,0.185631,0.212367,-0.271136
3,1.03911,0.067814,-0.0567904,1.42715,0.119279,0.423468,-0.0139851,0.569576,-0.149397
4,-0.284237,-0.384889,0.310202,1.73456,0.639999,0.228225,0.154181,-1.29284,0.0133935
5,1.03731,0.0183247,-0.410114,1.19427,-0.529998,0.377738,0.176318,0.425512,-0.129816
6,-0.193105,-0.0428875,0.341164,-3.54543,-0.207426,-0.779347,0.00582691,-1.08596,0.018218
7,-0.881629,0.281674,0.264615,-2.13907,-0.316388,-0.13194,-0.0500099,-0.401424,-0.0193338
8,-0.967398,0.249985,-0.294855,0.382396,-0.205847,-0.242225,-0.19735,-0.406353,0.447491
9,-1.91948,0.148074,0.338535,0.831449,-0.211617,-0.232204,-0.186521,0.751987,0.109462
10,-1.40099,0.0913883,-0.70764,0.674523,-0.116952,-1.02128,-0.164716,-0.472389,0.333994
11,0.099314,0.0770167,0.0329681,-1.89265,-0.467808,-0.324027,-0.0715102,0.931064,0.108242
12,-0.069983,-0.138137,0.547679,-3.18958,-0.0571774,-1.26197,-0.201473,0.328248,0.248099
13,-0.753255,-0.456059,-0.357878,1.44978,-0.0179678,0.294285,-0.205525,0.028799,0.527179
14,0.214619,0.294396,-0.427945,-0.298105,-0.429394,-1.81377,0.0712863,0.395719,-0.0919206
15,-1.10632,-0.0834198,0.131077,1.42326,0.912831,0.276375,0.497612,0.429574,-0.661404
16,0.75948,-0.140721,-0.12097,0.896069,-0.0403683,0.541989,0.198681,0.0729544,-0.296218
17,-0.149547,0.108411,-0.15506,0.51806,0.130956,0.607965,0.0143835,0.115569,0.151334
18,-0.977051,0.705489,-0.0689737,1.42678,0.312376,0.384131,0.168341,-1.25877,-0.160684
19,-1.06816,-0.529515,0.409853,0.874744,0.102421,0.434817,-0.214873,0.811273,0.459304
20,-0.10964,0.225439,-0.0433399,-1.00311,-0.200366,-0.256771,-0.150638,-0.634868,0.130233
21,0.120851,0.0776798,0.343045,0.238723,-0.0818055,-0.085885,-0.0574654,0.273438,0.165342
