rep,id,k,V,TS0,kge,kgl,TSmax,kkill,tau,k1
1,1,5944.8,0.0251336,54.6928,0.204611,0.401207,616.49,27.7059,4.92664,191.589
2,1,0.0893901,0.0624622,51.8579,0.0651593,0.411071,9224.09,18.2958,5.88341,111.534
3,1,0.857988,0.0100649,52.1905,9464.43,0.450292,9755.23,22.3237,5.361,125.92
1,2,1.20672e-05,0.04617,46.672,0.389083,0.779403,667.919,18.3873,4.96034,133.199
2,2,6.92928e-08,0.0034656,43.6661,2881.68,0.806116,1613.95,14.1221,4.91188,97.2384
3,2,71.7527,0.0022436,48.3351,3.34782,0.549024,9523.39,13.7758,3.89236,131.629
1,3,9.32324e-08,0.001774,46.0193,2.72125,0.483945,3180.78,12.0067,4.33987,131.638
2,3,0.00271928,0.00308951,43.2282,1.52079,0.611062,723.109,14.7204,6.26373,134.139
3,3,1.11764e+09,0.0119018,47.9191,63.1712,0.471323,1390.26,13.772,4.43136,152.483
1,4,7.3448e+06,0.00554972,69.6023,4.0102,0.563693,327.033,20.9821,0.504645,301.356
2,4,48602.3,0.326605,69.2734,3.21182,0.595976,4323.31,11.812,0.529055,153.879
3,4,4.14724e-05,0.000279539,68.0187,2.75204,1.26598,979.096,23.9194,1.47935,170.562
1,5,6.31371e+07,0.0121837,32.5566,1.19528,0.305785,209.68,21.2121,5.40378,185.572
2,5,0.846342,0.000108399,35.7932,17.4071,0.185842,4763.42,15.6648,2.88971,188.395
3,5,138749,0.00543564,35.9454,15.3072,0.286225,202.619,20.8813,3.31347,193.084
1,6,4.33209e-08,0.184221,77.3514,0.540839,0.202314,51.5574,14.5789,0.651054,202.347
2,6,0.000155009,0.859466,64.7951,0.0168128,0.34309,63.6124,18.9771,1.50589,272.901
3,6,1.128e-05,0.000659105,70.6054,0.000332435,0.48891,1258.54,12.6296,0.499546,171.744
1,7,0.00364215,0.0022513,66.3514,0.611227,0.312251,170.713,16.542,3.66344,185.279
2,7,0.000116134,0.0785178,69.0243,0.00117887,1.70015,272.234,12.1083,1.5342,162.249
3,7,1.96447,1.02275,65.1677,0.108574,0.164327,1958.63,16.7171,1.59726,244.485
1,8,7.29814e-09,0.00256608,36.2995,416.315,0.503171,135.498,11.9501,3.52185,323.975
2,8,0.0116756,0.0516451,34.7515,0.346186,0.61399,117.595,13.8268,3.95497,289.431
3,8,3.98721e-06,0.0697396,35.2733,0.0214135,0.39635,261.031,13.1625,1.80338,283.833
1,9,1.37616e-05,0.00185407,65.9553,3782.76,0.31878,812.982,14.4064,6.35505,299.752
2,9,4.39879e-05,0.0025978,77.0138,0.0831903,0.263676,4231.15,14.4563,6.68186,215.235
3,9,2.6748e-11,0.00405017,71.4458,1.17462,0.225533,679.266,7.36491,6.03367,202.965
1,10,8.31942,0.000364217,21.5383,0.177371,0.640264,67.0947,12.6885,1.6295,267.218
2,10,181.644,8.91836e-05,27.4635,0.364037,0.259368,1520.49,14.1653,1.19437,286.303
3,10,3.53246,0.00838196,20.6716,359.693,0.962826,53.232,10.2148,1.30197,276.466
