rep,id,eta_k,eta_V,eta_TS0,eta_kge,eta_kgl,eta_TSmax,eta_kkill,eta_tau,eta_k1
1,1,8.48695,0.509798,0.0764894,-1.37605,-0.0604542,-0.214301,0.54577,0.381915,-0.0174257
2,1,-2.61807,1.42015,0.0232639,-2.52033,-0.0361641,2.49123,0.130796,0.559394,-0.558451
3,1,-0.356487,-0.405352,0.0296573,9.36589,0.0549655,2.54722,0.329773,0.466408,-0.43713
1,2,-11.5283,1.11792,-0.0820984,-0.733368,0.603597,-0.134175,0.135787,0.388732,-0.380934
2,2,-16.6882,-1.47152,-0.14867,8.17672,0.637296,0.748098,-0.128134,0.378915,-0.695612
3,2,4.0699,-1.90632,-0.047084,1.4189,0.253212,2.52316,-0.152963,0.146273,-0.39279
1,3,-16.3915,-2.14117,-0.0961817,1.21169,0.12704,1.42654,-0.290412,0.255103,-0.392719
2,3,-6.11071,-1.58639,-0.158748,0.629822,0.360268,-0.0547818,-0.0866386,0.622032,-0.373898
3,3,20.6312,-0.237716,-0.055729,4.35644,0.100613,0.598902,-0.153235,0.275965,-0.245723
1,4,15.6062,-1.00066,0.317554,1.59944,0.279579,-0.848282,0.267793,-1.89664,0.435514
2,4,10.5881,3.07435,0.312819,1.37743,0.335269,1.73343,-0.306759,-1.84941,-0.236613
3,4,-10.2938,-3.98902,0.29454,1.22294,1.08867,0.248288,0.398814,-0.821143,-0.133677
1,5,17.7575,-0.214311,-0.442262,0.388974,-0.332048,-1.29276,0.278695,0.474356,-0.049336
2,5,-0.370154,-4.93634,-0.347483,3.06747,-0.830034,1.83038,-0.0244581,-0.151586,-0.0342366
3,5,11.6371,-1.02143,-0.34324,2.93891,-0.398153,-1.32701,0.262977,-0.0147475,-0.00964953
1,6,-17.158,2.50173,0.423116,-0.40404,-0.745108,-2.69565,-0.0962973,-1.64191,0.0372093
2,6,-8.97535,4.0419,0.245988,-3.87502,-0.216938,-2.48553,0.167358,-0.803358,0.336333
3,6,-11.5958,-3.13128,0.331864,-7.79847,0.137248,0.499362,-0.23983,-1.9068,-0.126771
1,7,-5.8185,-1.9029,0.269722,-0.281692,-0.311123,-1.49836,0.0300244,0.0856605,-0.0509157
2,7,-9.26409,1.64892,0.309217,-6.53261,1.38354,-1.03168,-0.281981,-0.784732,-0.183644
3,7,0.471903,4.21585,0.251721,-2.00973,-0.953072,0.94166,0.0405596,-0.744455,0.226377
1,8,-18.939,-1.77203,-0.333438,6.24204,0.165998,-1.72939,-0.295136,0.0462428,0.507888
2,8,-4.65358,1.22999,-0.377019,-0.850184,0.365047,-1.8711,-0.149263,0.16223,0.395138
3,8,-12.6357,1.53036,-0.362115,-3.63314,-0.0726332,-1.0737,-0.198504,-0.623079,0.375608
1,9,-11.397,-2.09702,0.263735,8.4488,-0.290431,0.0623664,-0.108204,0.636507,0.430179
2,9,-10.2349,-1.75974,0.418742,-2.27603,-0.48021,1.71189,-0.104745,0.686653,0.0989545
3,9,-24.5479,-1.31565,0.343697,0.371539,-0.636466,-0.11733,-0.779149,0.584612,0.0402588
1,10,1.91527,-3.72441,-0.855408,-1.51892,0.406949,-2.43224,-0.235179,-0.724472,0.315286
2,10,4.99873,-5.13147,-0.612383,-0.799906,-0.496684,0.688444,-0.125083,-1.03512,0.384274
3,10,1.05867,-0.588326,-0.896484,6.09584,0.814942,-2.66368,-0.452037,-0.948865,0.349312
1,11,10.1674,-1.6547,0.0687653,3.39865,-0.609807,2.24671,0.343919,1.08944,-0.241356
2,11,16.717,-0.242698,0.0665544,-1.30324,-0.484659,-1.99066,-0.147551,1.4829,-0.219916
3,11,20.6552,5.26901,0.00408193,-1.81717,-0.746229,1.9126,0.360846,1.02679,0.0639422
1,12,-17.1204,-0.37257,0.498234,-6.46892,-0.182442,0.332136,-0.377748,0.717686,0.0728393
2,12,0.558122,7.63943,0.60579,1.07484,0.105629,-2.30569,0.407187,-0.398155,0.681864
3,12,14.1396,-0.816047,0.579471,0.763567,-1.00345,-1.87192,-0.0879933,0.319884,0.105294
1,13,8.1087,1.4729,-0.366176,-0.341506,-0.146075,-0.981665,0.0690495,0.34225,1.05126
2,13,15.7793,-0.0513461,-0.345765,-0.0443252,-0.129173,0.917415,-0.595231,-0.593,0.257189
3,13,-12.874,0.00950101,-0.373335,1.44174,-0.0391302,-0.0659728,-0.187264,0.131265,1.05297
1,14,12.417,2.08895,-0.390343,-2.88783,-0.708481,-2.01962,0.064596,0.726104,-0.347206
2,14,-9.12182,-2.56709,-0.426812,2.74223,-0.707282,-2.24756,-0.00510147,0.805339,-0.253079
3,14,-4.38857,3.01554,-0.406888,-5.98694,0.469635,2.03666,0.29227,0.951884,0.571039
1,15,6.35324,2.24351,0.178237,-1.03252,0.538731,0.894166,0.772085,0.147715,-0.103425
2,15,-0.281882,-1.34794,0.222353,1.44861,1.26265,0.758251,0.168839,0.666363,-1.40376
3,15,-4.15276,-2.02336,0.188014,1.53111,1.05278,3.15452,0.859213,0.583477,-0.622001
1,16,11.9364,1.6013,-0.123435,-2.00897,-0.333949,1.71262,0.0313952,-0.149535,-0.152117
