parameter,value,CV
k_pop,1.22546675326665,
V_pop,0.0150956664649231,
TS0_pop,50.6653668008697,
kge_pop,0.810102677528396,
kgl_pop,0.426209605154084,
TSmax_pop,763.827712833603,
kkill_pop,16.0526696734451,
tau_pop,3.36269554933004,
k1_pop,194.956638128849,
omega_k,10.1945100088064,3.69560809759837e+24
omega_V,3.09666678668793,12086.0666504529
omega_TS0,0.323073594100545,33.1690142360868
omega_kge,3.93133233010676,227034.447001503
omega_kgl,0.51955417904262,55.6669856849406
omega_TSmax,1.40412557341899,248.634941713118
omega_kkill,0.360841737460754,37.2912685823916
omega_tau,0.836719552020471,100.695248389255
omega_k1,0.446665746963525,46.9898681472778
a,0.364475557030146,
b,0.0616387441762141,
